project_id,district,state,work_type,sanctioned_amount,spent_amount,physical_progress,planned_days,actual_days,inspection_count,latitude,longitude
MPL032,Bhagalpur,Bihar,Drainage,4937076,3787454,60,243,307,2,25.1247,87.1667
MPL033,Thiruvananthapuram,Kerala,Library,1803991,1105309,77,197,228,3,8.5268,76.8122
MPL034,Muzaffarpur,Bihar,Drainage,926132,698038,65,231,189,4,26.1895,85.2457
MPL035,North Delhi,Delhi,Street Lighting,4206384,3290515,95,94,80,7,28.8656,77.2583
MPL036,Kurnool,Andhra Pradesh,School Building,1742300,959969,87,247,242,8,16.0276,77.8923
MPL037,North Delhi,Delhi,School Building,1362295,1106246,82,298,383,7,29.0557,76.9594
MPL038,Dakshina Kannada,Karnataka,Road,1985222,1012293,86,260,309,5,12.7975,74.9997
MPL039,Thane,Maharashtra,School Building,3708992,3128302,62,203,182,5,19.1209,73.1258
MPL040,Gautam Buddha Nagar,Uttar Pradesh,Community Hall,2370018,2363740,24,294,544,1,28.4511,77.1548
MPL041,Udaipur,Rajasthan,Drinking Water,1997935,1768199,97,225,184,6,24.5082,73.8557
MPL042,Udaipur,Rajasthan,Street Lighting,4790127,3133117,67,187,173,7,24.3362,73.9253
MPL043,Gaya,Bihar,Community Hall,2152850,1447832,83,259,287,7,24.9054,84.9006
MPL044,Jaipur,Rajasthan,Drainage,3925848,2594829,80,241,259,3,26.9949,75.7269
MPL045,Bhopal,Madhya Pradesh,Street Lighting,1959847,1426067,99,297,318,2,23.1534,77.3775
MPL046,Surat,Gujarat,Drainage,3203222,2167666,89,199,210,8,21.2496,72.723
MPL047,Gurugram,Haryana,Drinking Water,3311762,2740050,65,210,238,3,28.2832,76.7997
MPL048,Medchal-Malkajgiri,Telangana,Drainage,1110927,739628,89,189,219,5,17.4754,78.5076
MPL049,Lucknow,Uttar Pradesh,Library,546513,443423,66,202,179,7,26.829,80.9749
MPL050,Darjeeling,West Bengal,Drinking Water,1518029,839979,89,327,370,6,26.9496,88.3903
MPL051,Tiruchirappalli,Tamil Nadu,Library,4734386,3940087,87,318,397,7,10.7655,78.8306
MPL052,Malappuram,Kerala,Street Lighting,2826256,1960966,93,212,198,2,10.9406,75.989
MPL053,Ambala,Haryana,Street Lighting,1175934,658913,68,286,328,7,30.1603,76.7305
MPL054,North 24 Parganas,West Bengal,Library,4408456,2314026,86,305,303,8,22.9453,88.2451
MPL055,Jaipur,Rajasthan,Library,3690867,1854138,90,270,256,5,26.9315,75.9046
MPL056,Nagpur,Maharashtra,Drainage,2350012,1381263,91,313,326,5,21.2302,79.2373
MPL057,Ghaziabad,Uttar Pradesh,Drinking Water,1884495,1635396,89,103,129,6,28.7507,77.2458
MPL058,Coimbatore,Tamil Nadu,Drinking Water,1638329,938257,89,223,220,3,10.9302,77.0864
MPL059,Prayagraj,Uttar Pradesh,School Building,2834185,1703086,86,131,135,7,25.2118,82.0723
MPL060,Ghaziabad,Uttar Pradesh,Community Hall,1075612,1010089,29,216,437,0,28.8931,77.4363
MPL061,Jabalpur,Madhya Pradesh,Community Hall,3594517,2668415,70,148,175,3,22.9855,79.7492
MPL062,Dakshina Kannada,Karnataka,Library,3648302,3198058,85,191,160,7,12.7151,74.9922
MPL063,Khurda,Odisha,Road,1515483,1232169,96,267,284,7,20.0806,85.8983
MPL064,Coimbatore,Tamil Nadu,Drainage,4023708,2181717,91,275,307,8,11.1205,76.9235
MPL065,South 24 Parganas,West Bengal,Library,4876728,3639818,77,337,347,8,22.4152,88.4955
MPL066,Cuttack,Odisha,Community Hall,1226981,1046188,77,214,251,6,20.3807,85.8802
MPL067,Kozhikode,Kerala,School Building,2025383,1184541,91,222,215,6,11.2867,75.7887
MPL068,Tiruchirappalli,Tamil Nadu,Library,1218173,959956,75,340,366,3,10.8635,78.7001
MPL069,North 24 Parganas,West Bengal,Community Hall,644646,398194,65,297,340,4,22.6568,88.512
MPL070,Mysuru,Karnataka,Road,4069384,2573138,95,322,301,4,12.1061,76.4857
MPL071,Kanpur Nagar,Uttar Pradesh,Library,4995152,2880286,71,337,316,6,26.4983,80.5722
MPL072,Gautam Buddha Nagar,Uttar Pradesh,Road,2128376,1257855,78,181,172,7,28.3488,77.1638
MPL073,Kolkata,West Bengal,Community Hall,2950619,2228153,68,341,290,2,22.4648,88.3533
MPL074,Ludhiana,Punjab,Drainage,2046554,1229961,63,334,286,2,30.8969,75.8958
MPL075,Gaya,Bihar,Street Lighting,949705,531529,69,245,206,3,24.8245,84.9585
MPL076,Jodhpur,Rajasthan,Street Lighting,2393200,1560728,93,316,299,6,26.1416,73.0848
MPL077,Dharwad,Karnataka,Road,1332431,999597,73,225,254,3,15.2958,74.7953
MPL078,Malappuram,Kerala,Drinking Water,3926893,3046281,88,330,312,3,11.1769,76.1726
MPL079,Bengaluru Urban,Karnataka,Library,1097099,953998,74,191,193,6,13.0454,77.7988
MPL080,Ludhiana,Punjab,Drinking Water,1693164,1617195,38,247,499,1,31.1223,75.8575
MPL081,Belagavi,Karnataka,Drainage,4172187,3084141,65,311,363,6,15.6126,74.3622
MPL082,Kota,Rajasthan,Street Lighting,674025,492374,77,179,185,7,25.4218,75.7055
MPL083,Pune,Maharashtra,School Building,4156468,3431987,100,136,140,5,18.4309,73.659
MPL084,Varanasi,Uttar Pradesh,Community Hall,3266593,2539676,86,237,268,5,25.0859,82.7679
MPL085,Anantapur,Andhra Pradesh,Drinking Water,3211817,2852330,67,296,364,8,14.7607,77.6219
MPL086,NTR,Andhra Pradesh,Community Hall,954696,675328,72,345,383,8,16.358,80.6726
MPL087,Varanasi,Uttar Pradesh,School Building,4175184,2290382,91,212,244,4,25.0744,82.9279
MPL088,Indore,Madhya Pradesh,Library,1451780,1275859,89,168,176,7,22.724,75.7444
MPL089,Warangal,Telangana,Road,4547499,2717095,90,164,162,6,18.092,79.4124
MPL090,Malappuram,Kerala,Street Lighting,2817331,1791681,86,349,325,2,11.1864,76.2398
MPL091,Prayagraj,Uttar Pradesh,Library,4607400,3126668,69,337,327,6,25.3744,82.0627
MPL092,Kurnool,Andhra Pradesh,Library,2082530,1517579,75,209,256,5,15.7372,78.0238
MPL093,Muzaffarpur,Bihar,Library,3697998,3311060,84,167,174,2,26.122,85.4098
MPL094,Jalandhar,Punjab,Road,1341919,724481,88,323,260,3,31.5115,75.8112
MPL095,Pune,Maharashtra,Drinking Water,4438372,2820250,76,293,329,8,18.6966,74.0364
MPL096,Visakhapatnam,Andhra Pradesh,Community Hall,3156346,2485581,100,339,419,2,17.5542,83.3107
MPL097,Dibrugarh,Assam,Road,2408293,1622198,65,140,165,7,27.4446,95.009
MPL098,New Delhi,Delhi,Drainage,885800,724989,80,240,235,5,28.486,77.165
MPL099,Medchal-Malkajgiri,Telangana,Drinking Water,2010426,1145998,70,285,316,3,17.732,78.5054
MPL100,Thane,Maharashtra,Drinking Water,2630516,2562672,38,94,163,1,19.4621,72.8777
MPL101,Salem,Tamil Nadu,Community Hall,2597975,2177418,89,191,248,8,11.4676,78.0867
MPL102,NTR,Andhra Pradesh,Library,2981957,1517147,78,292,273,6,16.7115,80.7706
MPL103,Belagavi,Karnataka,Drainage,2900770,2154767,74,270,245,3,15.9386,74.6082
MPL104,Krishna,Andhra Pradesh,Road,1647387,887720,100,110,104,5,16.2085,81.2485
MPL105,Prayagraj,Uttar Pradesh,Street Lighting,2975565,2377453,80,179,161,8,25.624,81.7792
MPL106,Nagpur,Maharashtra,Road,2786125,1679442,70,336,431,4,21.2979,79.0724
MPL107,Agra,Uttar Pradesh,Road,1680755,1418651,74,293,376,8,27.1096,78.1534
MPL108,Thiruvananthapuram,Kerala,Community Hall,2718439,1493606,94,278,315,7,8.5664,77.0978
MPL109,Visakhapatnam,Andhra Pradesh,Drainage,1408872,970136,74,257,323,3,17.7545,83.2006
MPL110,Medchal-Malkajgiri,Telangana,Street Lighting,3034954,1659119,86,113,143,4,17.3337,78.5512
MPL111,North Delhi,Delhi,Library,1638032,1116249,84,304,332,7,29.0355,77.1685
MPL112,Ambala,Haryana,Library,4604940,3054209,99,233,190,4,30.3499,77.002
MPL113,Nashik,Maharashtra,Road,3542431,3161163,66,278,298,7,19.7778,73.6777
MPL114,Dakshina Kannada,Karnataka,School Building,4314445,3301014,65,100,82,4,13.1585,74.9995
MPL115,Pune,Maharashtra,Street Lighting,1075543,626894,95,200,241,3,18.6576,74.001
MPL116,Belagavi,Karnataka,Library,523786,441741,77,164,212,6,15.999,74.3027
MPL117,Vadodara,Gujarat,Drinking Water,716259,362387,68,211,230,2,22.1899,72.9946
MPL118,Warangal,Telangana,School Building,4913125,3921981,67,333,341,4,18.0157,79.5701
MPL119,Ludhiana,Punjab,Drainage,863772,536101,93,105,87,5,30.8641,75.6613
MPL120,Cuttack,Odisha,Drinking Water,4220870,3976064,28,254,551,1,20.7098,85.8983
MPL121,Varanasi,Uttar Pradesh,Drinking Water,4740869,3186241,98,148,181,7,25.428,82.8314
MPL122,Dibrugarh,Assam,Community Hall,2416743,1536015,86,322,321,7,27.3791,94.8183
MPL123,YSR Kadapa,Andhra Pradesh,Drainage,3639864,2819906,69,332,276,8,14.2678,78.6226
MPL124,Nashik,Maharashtra,Drinking Water,3625988,2619951,68,258,292,5,20.1843,74.0104
MPL125,Ambala,Haryana,Library,931560,689507,78,270,229,6,30.2056,76.7678
MPL126,Kolkata,West Bengal,Street Lighting,1407801,1179947,82,278,238,4,22.4357,88.3285
MPL127,Jabalpur,Madhya Pradesh,School Building,720233,627779,98,226,184,4,23.3923,79.9119
MPL128,Guntur,Andhra Pradesh,Drinking Water,1701680,1298276,96,125,108,7,16.1026,80.4517
MPL129,Ghaziabad,Uttar Pradesh,School Building,4021810,2559312,89,279,266,4,28.7173,77.6455
MPL130,Jodhpur,Rajasthan,Community Hall,1820449,946460,99,131,122,7,26.2317,72.9953
MPL131,South 24 Parganas,West Bengal,Road,2308323,1259252,92,310,265,7,22.5243,88.4032
MPL132,Ambala,Haryana,Community Hall,2349842,2100237,85,118,94,4,30.5119,76.9088
MPL133,Gautam Buddha Nagar,Uttar Pradesh,Library,3252489,1636301,67,310,275,5,28.6373,77.3911
MPL134,Vizianagaram,Andhra Pradesh,Street Lighting,3470969,2286773,64,111,113,5,18.2935,83.4368
MPL135,Surat,Gujarat,Library,3892545,2596629,100,148,148,4,21.3209,72.8902
MPL136,Ludhiana,Punjab,Community Hall,3535440,2385307,65,144,132,6,30.913,75.8052
MPL137,Patna,Bihar,Library,3348043,2120072,74,176,147,7,25.6094,84.9846
MPL138,Belagavi,Karnataka,Library,3430772,2713574,82,165,151,3,15.6983,74.5489
MPL139,North 24 Parganas,West Bengal,Street Lighting,1132109,996841,71,342,352,6,22.6968,88.6974
MPL140,Rangareddy,Telangana,Road,3211267,3158943,39,315,671,1,17.0276,78.4103
MPL141,Kamrup Metropolitan,Assam,Drinking Water,977228,813716,83,129,144,8,26.202,91.7397
MPL142,Rangareddy,Telangana,Road,844123,729001,88,186,178,5,17.0659,78.2103
MPL143,Kota,Rajasthan,Street Lighting,3380964,2372826,65,178,145,7,25.4593,75.8768
MPL144,Nagpur,Maharashtra,Drainage,1831659,1189004,83,234,232,8,21.2352,78.8644
MPL145,North Delhi,Delhi,School Building,3307242,2089767,64,287,270,7,28.7595,77.1324
MPL146,YSR Kadapa,Andhra Pradesh,Library,3434509,3046679,79,290,250,7,14.376,78.7626
MPL147,Jodhpur,Rajasthan,Community Hall,3255461,2500345,68,359,303,7,26.2431,72.7834
MPL148,North Delhi,Delhi,Road,2012154,1281124,73,338,302,3,28.6314,77.2632
MPL149,Muzaffarpur,Bihar,School Building,4758809,3969074,94,359,293,4,26.1695,85.1918
MPL150,Kota,Rajasthan,Library,1888643,977329,88,276,314,3,25.2691,75.991
MPL151,Tiruchirappalli,Tamil Nadu,Drainage,4265880,3044150,74,248,318,8,10.9925,78.5517
MPL152,Ahmedabad,Gujarat,School Building,4195998,3389424,89,285,299,5,23.1809,72.722
MPL153,Lucknow,Uttar Pradesh,Library,2597178,1964691,63,280,301,2,27.0223,80.8387
MPL154,Kamrup Metropolitan,Assam,Drinking Water,1844797,1253959,77,352,307,5,26.3677,91.5972
MPL155,Ganjam,Odisha,Road,3432532,2285924,61,292,306,3,19.6023,84.9255
MPL156,Krishna,Andhra Pradesh,Drainage,3173322,2651851,66,261,312,3,16.0621,81.2972
MPL157,Belagavi,Karnataka,Drainage,1664277,1130777,90,92,115,2,15.7075,74.3225
MPL158,NTR,Andhra Pradesh,Street Lighting,4927268,2682772,87,237,217,2,16.3754,80.7175
MPL159,Warangal,Telangana,Community Hall,4334546,2359480,64,345,378,2,18.0064,79.7034
MPL160,Ganjam,Odisha,Drinking Water,4100716,3944391,25,213,409,0,19.5417,84.7598
MPL161,Dharwad,Karnataka,Library,3631487,2901291,76,272,324,4,15.5754,75.0719
MPL162,Madurai,Tamil Nadu,School Building,3289368,1703018,68,263,317,3,10.1656,78.1091
MPL163,Kurnool,Andhra Pradesh,Community Hall,1631225,1282824,64,324,265,3,15.9737,78.2302
MPL164,Kutch,Gujarat,Road,3101105,2044526,92,332,307,8,23.1351,69.848
MPL165,Kota,Rajasthan,School Building,3284386,1805722,77,278,283,5,25.4111,75.8081
MPL166,Jodhpur,Rajasthan,Library,4662454,3016322,91,355,331,2,26.0284,73.0755
MPL167,Indore,Madhya Pradesh,Drinking Water,2013778,1243521,94,142,119,7,22.6228,75.909
MPL168,Udaipur,Rajasthan,Road,1897917,1215841,88,111,129,4,24.4727,73.9525
MPL169,Ahmedabad,Gujarat,Street Lighting,1129490,748269,100,352,422,7,23.2489,72.3928
MPL170,Aurangabad,Maharashtra,Street Lighting,4175660,2298667,62,210,249,4,19.8176,75.3769
MPL171,Kolkata,West Bengal,Community Hall,1787132,1571835,88,280,286,2,22.3914,88.2974
MPL172,Lucknow,Uttar Pradesh,Community Hall,2837819,2509222,75,103,120,5,26.7902,80.977
MPL173,Gurugram,Haryana,Drinking Water,2683468,1572051,88,236,270,5,28.2708,77.203
MPL174,Visakhapatnam,Andhra Pradesh,Community Hall,1948346,1751377,88,253,286,7,17.7118,83.1137
MPL175,Gurugram,Haryana,Drinking Water,1821249,1037449,100,275,289,2,28.6055,76.895
MPL176,Muzaffarpur,Bihar,Community Hall,720486,519908,83,278,287,6,26.1769,85.1578
MPL177,Muzaffarpur,Bihar,Drinking Water,3840007,2727473,90,299,362,2,26.3571,85.4359
MPL178,Udaipur,Rajasthan,Library,4407692,2811252,93,183,216,3,24.5868,73.8966
MPL179,Bengaluru Urban,Karnataka,Community Hall,1541538,865120,93,174,153,7,12.8946,77.8151
MPL180,Surat,Gujarat,Street Lighting,1161524,1077283,54,230,500,0,21.2496,72.9414
MPL181,Kolkata,West Bengal,Street Lighting,3332158,1720985,96,104,87,7,22.4549,88.2193
MPL182,Indore,Madhya Pradesh,School Building,3994583,3018292,99,344,428,6,22.7906,75.7587
MPL183,Salem,Tamil Nadu,School Building,3906551,2661992,79,120,105,5,11.6465,78.0661
MPL184,Khurda,Odisha,School Building,3122132,2477973,80,266,342,3,20.3036,85.6276
MPL185,Indore,Madhya Pradesh,Drinking Water,4413055,2678674,67,216,188,2,22.9423,76.0398
MPL186,Medchal-Malkajgiri,Telangana,Community Hall,2582642,2131689,70,250,223,3,17.7736,78.6672
MPL187,Ambala,Haryana,Community Hall,4672244,2504414,61,291,306,3,30.4199,76.551
MPL188,Jorhat,Assam,Drainage,4651473,3967407,98,330,311,2,26.7164,94.3949
MPL189,Kutch,Gujarat,Drinking Water,3568365,2306501,85,295,243,6,23.1733,69.5612
MPL190,Gaya,Bihar,Community Hall,4730001,3811253,88,233,282,6,24.6098,84.7987
MPL191,Ludhiana,Punjab,School Building,3344453,2928334,95,163,146,6,30.901,75.63
MPL192,Bhagalpur,Bihar,School Building,3293747,2331093,90,166,183,6,25.1565,87.0283
MPL193,Warangal,Telangana,Community Hall,3796341,3020853,99,243,266,6,17.9851,79.6985
MPL194,Jabalpur,Madhya Pradesh,Drainage,4483687,2902483,61,146,188,6,23.3299,80.0991
MPL195,Salem,Tamil Nadu,Street Lighting,723532,499118,98,206,239,6,11.4996,78.2105
MPL196,Patna,Bihar,Drinking Water,3689267,3057164,69,214,174,7,25.4395,85.1081
MPL197,Tiruchirappalli,Tamil Nadu,Road,1770297,1374104,86,300,315,6,10.9769,78.8226
MPL198,Kanpur Nagar,Uttar Pradesh,Drinking Water,1658319,966694,93,256,332,5,26.3883,80.5602
MPL199,Dakshina Kannada,Karnataka,Community Hall,4972193,3572566,81,225,248,3,12.8036,74.7552
MPL200,Malappuram,Kerala,Drinking Water,2924342,2908831,55,340,787,1,10.8843,76.1594
